id,created_at,updated_at,state,description,consultant_id,nonprofit_id,scheduled_for,time_slots,organization_id,conference_line_id,project_category_id,partner_organization_id,archived
490,12:01.6,13:00.3,pending,Our organization is looking to develop a fundraising plan for the year and we are in need of developing a compelling message and brand that will engage both current supporters and new ones.  We are a 501(c)3 non-profit that runs girls-centered soccer programs run by women coaches/role models based on a fee for service model.  Our aim is to put focus on fundraising with the right messaging.,,159801,,"{""2018-06-19 16:00:00"",""2018-06-19 17:00:00"",""2018-06-20 16:00:00"",""2018-06-20 17:00:00"",""2018-06-20 18:00:00"",""2018-06-20 19:00:00"",""2018-06-21 16:00:00"",""2018-06-21 17:00:00""}",6416,,11,,f
544,03:11.8,00:52.8,completed,Developing a content strategy; expanding our mission of Unity in Diversity through the arts; building our community and membership in NY and DC,58149,161035,7/27/18 17:00,"{""2018-07-20 20:00:00"",""2018-07-23 17:00:00"",""2018-07-23 18:00:00"",""2018-07-24 17:00:00"",""2018-07-25 17:00:00"",""2018-07-26 17:00:00"",""2018-07-27 17:00:00"",""2018-08-07 18:00:00""}",6560,6,10,,f
546,12:56.2,55:56.9,expired,We are looking for an professional grant writer/fundraising expert. We need help finding the right grants and tips for the best way to fill them out. https://www.lonaproject.org/initiatives/,,161013,,"{""2018-07-26 00:00:00"",""2018-07-27 00:00:00"",""2018-07-28 00:00:00""}",6558,,1,,f
532,14:05.5,24:13.6,expired,I developed our original website several years ago.  I now do most of our PR work as well but would appreciate assistance to do a better job in marketing our facility.,,160767,,"{""2018-07-12 15:00:00"",""2018-07-12 17:00:00"",""2018-07-12 18:00:00"",""2018-07-12 19:00:00"",""2018-07-12 20:00:00"",""2018-07-13 17:00:00"",""2018-07-13 18:00:00"",""2018-07-16 15:00:00"",""2018-07-16 18:00:00"",""2018-07-16 19:00:00""}",6525,,10,,f
522,40:08.5,18:13.5,npo_rescheduled,"To get advice on how to better utilize our social media. We'd like to target, with your help, each of our social media platforms to donors/volunteers/and other stakeholders. Please note: we are attempting to update our dashboard settings.",160645,160546,,"{""2018-07-23 17:00:00"",""2018-07-23 18:00:00"",""2018-07-24 17:00:00"",""2018-07-24 18:00:00"",""2018-07-26 17:00:00""}",1097,2,10,,f
239,41:03.1,29:24.1,expired,"As we enter the month of December, we are shifting our focus on our fundrasing strategy. We are now devoting ourselves more intensely to a sponsorship model where people sponsor a child.  Additonally, we are completing the building of our community library and learning center, and need to create  a way for people to donate to specific items such as computers, books, audiovisual equipment",,153798,,"{""2017-12-18 15:00:00"",""2017-12-19 15:00:00"",""2017-12-20 15:30:00"",""2017-12-20 16:00:00"",""2017-12-21 15:00:00""}",5516,,10,,f
246,26:48.1,49:12.0,expired,"Frailty Myths is a nonprofit in California. We offer free workshops for women/trans/folks on skills dominated by men, like woodworking and welding. I'd like to talk about expanding our brand for corporate partnerships. Our website is www.frailtymyths.org",,150199,,"{""2017-12-13 19:00:00"",""2017-12-14 22:00:00"",""2017-12-15 19:00:00"",""2017-12-15 23:00:00"",""2017-12-19 18:00:00"",""2017-12-19 19:00:00"",""2017-12-19 23:00:00""}",4957,,11,,f
233,41:39.1,30:19.5,completed,"A.I.R. hosts its website on squarespace. It is easier for us to update and manage. 
We find we have a huge problem in information organization and making emphasis on the things that are important while others get no attention, there are a lot of tabs in our nav bar but we can't find a better way to reduce them. Any info organization advice will be greatly appreciated. 
www.airgallery.org

thanks!",130022,153429,12/8/17 20:30,"{""2017-12-06 22:00:00"",""2017-12-06 22:30:00"",""2017-12-07 21:00:00"",""2017-12-07 21:30:00"",""2017-12-08 20:00:00"",""2017-12-08 20:30:00"",""2017-12-08 21:00:00"",""2017-12-08 21:30:00"",""2017-12-08 22:00:00"",""2017-12-08 22:30:00""}",5467,1,20,,f
1255,51:31.9,51:31.9,applied,"Volunteer Recruitment, training and retention",,177092,,"{""2019-07-18 17:00:00"",""2019-07-23 17:00:00"",""2019-07-24 17:00:00""}",8373,,5,,f
642,12:49.1,10:26.6,expired,"Cob Research Institute needs funding for three major projects underway. 
Need consultation for possible:
1. obtaining grants
2. soliciting donors via our website
3. soliciting donors via our newsletter / mailing list
4. crowdfunding
5. other possibilities
 Estimate needing $30 to $40 K dollars beginning in 60 days.",,125707,,"{""2018-09-26 17:00:00"",""2018-09-26 18:00:00"",""2018-09-27 17:00:00"",""2018-09-27 18:00:00"",""2018-09-28 17:00:00"",""2018-09-28 18:00:00"",""2018-10-02 17:00:00"",""2018-10-03 17:00:00"",""2018-10-04 17:00:00""}",2397,,10,,f
222,14:45.7,00:58.2,completed,"Families in Schools is seeking to adopt an employee remote work policy in the upcoming fiscal year. Presently, telecommuting is only an option for select leadership staff and only on a case by case basis. FIS is seeking support on how to develop/formalize an employee remote work policy that includes guidance in the following areas:
-Factors FIS should consider in developing its remote work policy
-What HR policies may be impacted as a result?
-Could a remote work policy also be applicable to hourly employees?
-What types of systems and/or technology are recommended for an effective remote work policy?
-How successful are remote work policies in recruiting talented individuals to nonprofits, similar to FIS?",136767,153161,11/20/17 18:00,"{""2017-11-20 18:00:00"",""2017-11-21 16:00:00"",""2017-11-21 17:00:00"",""2017-11-21 19:00:00"",""2017-11-22 16:00:00""}",5424,8,7,,f
86,31:48.8,00:01.6,expired,"I was thrilled to see that Taproot is offering technological consulting services. At The School Fund we have multiple data sources which makes analysis and segmentation of supporters, advocates, and students difficult. We have a website that collects donor information, are partnering with an online fundraising software platform called Classy to capture our monthly donors and peer to peer fundraising supporters, receive physical checks that we capture in a spreadsheet, and are working with a consultant to get all of these systems feeding into our new Salesforce instance.",,4229,,"{""2016-04-12 16:00:00"",""2016-04-13 16:00:00"",""2016-04-15 16:00:00""}",625,,17,,f
236,50:58.3,41:07.5,pbc_rescheduled,"Anxiety In Teens needs assistance shifting directions to better serve a changing demographic.  I hope to gain feedback on the HOW to implement the hypothesis for the new direction.  As a result of the consultation, I hope to be better equipped to outline and establish a new set of measurable, achievable objectives for testing new offerings at our organization.",11331,145628,12/12/17 5:00,"{""2017-12-04 19:00:00"",""2017-12-05 19:00:00"",""2017-12-05 20:00:00"",""2017-12-05 21:00:00"",""2017-12-06 21:00:00""}",4376,1,2,,f
346,02:14.1,00:13.4,completed,My goal for this session is to improve the look of the organization website. Maybe this will involve redesigning a new website.,2792,156035,2/26/18 19:00,"{""2018-02-22 19:00:00"",""2018-02-24 00:00:00"",""2018-02-26 19:00:00"",""2018-02-28 20:00:00"",""2018-03-01 19:00:00""}",5908,3,20,,f
238,26:45.5,57:08.8,expired,"We need assistance in developing an internal conflict resolution policy. As a fairly small organization, we have struggled to find a conflict resolution policy that aligns with the needs of our staff and works with our organizational infrastructure. The lack of an effective policy has led to breakdowns in staff relations, in particular where conflict is with leadership.",,153639,,"{""2017-12-04 20:00:00"",""2017-12-05 16:00:00"",""2017-12-05 16:30:00"",""2017-12-05 19:30:00"",""2017-12-05 21:00:00"",""2017-12-05 22:00:00"",""2017-12-06 19:30:00"",""2017-12-06 20:00:00"",""2017-12-06 21:30:00"",""2017-12-07 16:30:00""}",5496,,7,,f
508,53:45.1,18:35.2,expired,I'm interested in speaking with an IT expert about how my website and CRM will need to be integrated to make sure I am using the right platforms. I'm also interested in an evaluation and assessment of what my CRM needs are including what kind of functionality my website will need to support this CRM.,,130641,,"{""2018-07-03 16:00:00"",""2018-07-03 17:00:00"",""2018-07-03 18:00:00"",""2018-07-04 16:00:00"",""2018-07-04 17:00:00"",""2018-07-04 18:00:00"",""2018-07-04 19:00:00"",""2018-07-05 16:00:00"",""2018-07-05 17:00:00"",""2018-07-05 20:00:00""}",2886,,18,,f
237,55:29.5,30:19.2,expired,My goal for this consultation is to discuss how to structure Board roles and responsibilities. I am Board chair of CASS (http://www.collectiveactiondc.org/). We are in a period of exciting growth and our ED seeks more Board involvement with volunteers and with day-to-day work. I would like to capture realistic Board expectations for a working Board in a Board Roles and Responsibilities document.,,153554,,"{""2017-12-12 15:30:00"",""2017-12-12 16:00:00"",""2017-12-12 16:30:00"",""2017-12-14 15:30:00"",""2017-12-14 16:00:00"",""2017-12-14 16:30:00"",""2017-12-15 15:30:00"",""2017-12-15 16:00:00"",""2017-12-15 16:30:00""}",5487,,8,,f
284,54:24.6,43:09.0,cancelled,We just launched a WordPress website at www.scpnow.org.  We included a contact form and installed the Google Recaptcha feature to eliminate spam hits on the form.   Recaptcha is not working properly and we are getting spam entries.  The form lets bots send info without requiring clicking the Recaptcha button.  We can do an online meeting to fix the Recaptcha feature together.,,143037,,"{""2018-01-29 16:00:00"",""2018-01-29 17:00:00"",""2018-01-30 15:00:00"",""2018-01-30 16:00:00"",""2018-01-30 17:00:00"",""2018-01-31 14:30:00"",""2018-01-31 17:00:00"",""2018-01-31 18:00:00"",""2018-02-01 14:30:00"",""2018-02-01 15:30:00""}",4112,,20,,f
347,43:48.7,00:42.5,completed,"Hello,

I would love to learn more about how to create a donor material for our nonprofit organization to raise fund for our scholarship program",4263,148242,2/28/18 15:00,"{""2018-02-23 17:00:00"",""2018-02-27 15:00:00"",""2018-02-28 15:00:00"",""2018-03-06 15:00:00""}",4704,4,10,,f
241,03:16.9,00:45.0,completed,"My goal for this consultation is to receive the insight and resource on how to get prob bono services for a new website from scratch. I wish to achieve a person that create a website for my organization that would draw more traffic to the site.
Website link; www.womaniaminc.com",124620,153913,12/11/17 17:00,"{""2017-12-08 17:00:00"",""2017-12-11 17:00:00"",""2017-12-12 17:00:00"",""2017-12-14 17:00:00"",""2017-12-18 17:00:00""}",5538,3,20,,f
442,36:39.0,56:37.9,expired,We have created a funding mechanism between Growing for Freedom and foundations.  We need help in designing the model properly so that it is legal with the IRS.  Visit us online for more information about our mission and current projects:  growingforfreedom.org,,157723,,"{""2018-05-14 15:00:00"",""2018-05-14 16:00:00"",""2018-05-15 15:00:00"",""2018-05-15 16:00:00"",""2018-05-16 15:00:00"",""2018-05-16 16:00:00"",""2018-05-17 15:00:00"",""2018-05-17 16:00:00"",""2018-05-18 15:00:00"",""2018-05-18 16:00:00""}",6165,,5,,f
472,49:43.8,42:06.1,cancelled,"I am looking for advice on how to glean insights from our membership data, which we can use to develop a handful of customer profiles to guide our recruitment strategy. In other words, what are steps we can take to determine the information we need to know about our members, and how can we use that data to predict and influence members' renewal behavior?",115314,155601,6/21/18 14:00,"{""2018-06-11 17:00:00"",""2018-06-12 17:00:00"",""2018-06-13 17:00:00"",""2018-06-14 17:00:00"",""2018-06-18 14:00:00"",""2018-06-21 14:00:00""}",5828,1,10,,f
247,24:30.2,43:00.0,cancelled,"Sustainable City Project received an AdWords services grant of $10,000 per month from Google.   Looking for an AdWords expert to educate me on how to best use this grant and maximize our Google AdWords success.  Guidance on setting up first campaign. Tips and tricks to create the best AdWords strategies, measure results and make campaign adjustments.",,143037,,"{""2017-12-26 15:00:00"",""2017-12-26 16:00:00"",""2017-12-26 17:00:00"",""2017-12-26 18:00:00"",""2017-12-27 15:00:00"",""2017-12-27 16:00:00"",""2017-12-27 17:00:00"",""2017-12-28 15:00:00"",""2017-12-28 16:00:00"",""2017-12-28 17:00:00""}",4112,,10,,f
290,16:03.9,04:36.4,expired,We are a non-profit organization that puts on fundraising events (5 and 10K races) for other non-profits. I need help finding the best sources of volunteers and paid contractors.  I have written a HR Plan. Here is a copy of my HR Plan (5 1/2 pages long): https://drive.google.com/open?id=17uQzhr6BvvDbFOm378Kt4ERiQVqjSDDnkcXhSe18SDY,,154512,,"{""2018-01-04 20:00:00"",""2018-01-04 22:00:00"",""2018-01-05 00:00:00"",""2018-01-05 20:00:00"",""2018-01-05 22:00:00"",""2018-01-06 00:00:00"",""2018-01-08 20:00:00"",""2018-01-08 22:00:00"",""2018-01-09 20:00:00"",""2018-01-09 22:00:00""}",5640,,9,,f
872,03:59.4,31:17.2,expired,Looking to create a board member and personnel handbook to include policies and procedures.  Looking to create policies ranging from a whisteblower and grievance policy to on-boarding of board members and ED succession.,,170732,,"{""2019-02-15 15:00:00"",""2019-02-18 15:00:00"",""2019-02-22 15:00:00""}",7536,,9,,f
586,32:11.4,00:43.6,completed,"The goal of this session is to seek guidance on best practices for IT, e-mail and Internet security at a small nonprofit.",139366,162826,8/30/18 15:00,"{""2018-08-29 15:00:00"",""2018-08-30 15:00:00"",""2018-08-31 16:00:00""}",6602,3,17,,f
171,14:37.2,00:15.4,expired,"Latino Union is nearly finished with a new 3-year strategic plan and as a staff, we are now beginning the process of developing updated messaging about our organization's mission. A session with a brand strategy professional will complement this process, since our staff have some training in strategic communications but no training whatsoever in branding or marketing. We have long suffered from a weak brand and ""best kept secret syndrome"" - little exposure outside our small but dedicated base of supporters and members.

We are not updating our mission or vision statement (these can be found on our website, www.latinounion.org) but we have the flexibility to update the other language used in our brochure, website, public appearances, etc. Currently our elevator pitch for Latino Union's work, which could use a fresh take, is ""Every year, Latino Union helps more than 500 low-wage and immigrant workers find dignity at work by improving working conditions, developing worker leadership and building a larger movement for immigrants' and workers' rights.""

Key target audiences for the messaging and branding we are trying to develop include potential worker members (low-income Latinx day laborers and domestic workers), foundation funders, allies and donors.",,10233,,"{""2017-07-24 15:30:00"",""2017-07-25 20:00:00"",""2017-07-28 17:00:00"",""2017-07-31 15:00:00"",""2017-08-01 21:00:00"",""2017-08-01 21:30:00"",""2017-08-01 22:00:00"",""2017-08-02 15:00:00"",""2017-08-02 16:00:00"",""2017-08-03 15:00:00""}",1514,,11,,f
242,14:10.6,00:11.5,completed,"The Black Panther Party newspapers were published for 12 years and  contain the only comprehensive documented  history of the party.  We would like to have the papers digitized as our next project. There are  institutions extremely interested in being involved in this project and  we need with a strategic plan in place for  next steps in this process.
www.hueypnewton.org",99502,153904,12/20/17 17:00,"{""2017-12-13 17:00:00"",""2017-12-18 17:00:00"",""2017-12-20 17:00:00"",""2017-12-20 22:00:00"",""2017-12-21 18:00:00""}",5541,1,2,,f
152,23:10.8,00:06.4,completed,"The Museum at Eldridge Street just re-launched its website (April 2017). I would like to better master Google Analytics so that I can understand and evaluate (1) who is visiting our website; (2) what actions they are taking when the come to our site; (3) how they are finding the Museum and arriving to our site; and (4) what pages are more or less successful for the Museum. This will allow the Museum to better understand our on-line visitors, what their interests, how we can serve them, and better market our programs to them.",9333,56095,6/21/17 20:00,"{""2017-06-15 17:00:00"",""2017-06-15 17:30:00"",""2017-06-21 20:00:00"",""2017-06-21 20:30:00"",""2017-06-22 20:00:00""}",4646,4,10,,f
218,17:51.1,32:24.4,expired,"As an organization, YAGP is looking to monetize our social media channels by converting our existing followers into donors and also reaching new followers. We participated in a Taproot Marathon Consulting day earlier this week and our experts recommended we sign up for Google Analytics, which is an entirely new concept to our organization, and we need help setting this up and understanding the value of this free service!

YAGP website: http://yagp.org/",,151401,,"{""2017-11-20 16:00:00"",""2017-11-20 16:30:00"",""2017-11-20 20:00:00"",""2017-11-20 20:30:00"",""2017-11-20 21:00:00"",""2017-11-21 15:30:00"",""2017-11-27 16:00:00"",""2017-11-27 16:30:00"",""2017-11-27 19:30:00"",""2017-11-27 20:00:00""}",3689,,10,,f
289,13:53.7,00:51.6,completed,"PSS (formerly Presbyterian Senior Services) is changing gears with our 2018 annual awards event-- new name, new venue and new look. We want to attract sponsors and make PSS a recognized brand among the older New York population. Manager of External Relations is seeking guidance on best practices to make our awards event a success in this transitional year without losing our longtime supporters.",147698,150635,1/8/18 20:00,"{""2018-01-03 15:00:00"",""2018-01-04 15:00:00"",""2018-01-04 17:00:00"",""2018-01-04 20:00:00"",""2018-01-08 15:00:00"",""2018-01-08 20:00:00""}",2096,4,11,,f
297,58:43.3,45:16.1,expired,"By- Laws update, and changing name from Foundation to Association, both at the State, and with the Dept of Treas.",,155111,,"{""2018-01-23 15:00:00"",""2018-01-24 15:00:00"",""2018-01-25 15:00:00""}",5723,,7,,f
318,39:03.5,34:07.8,npo_rescheduled,"My goal for this session is to make sure we are following IRS rules/protocols when we acknowledge our donors and send them receipts by getting advice and feedback on the letters we send out currently. 

Thank you.",6809,155217,,"{""2018-02-27 16:00:00"",""2018-02-28 16:00:00"",""2018-03-01 16:00:00""}",4181,1,1,,f
287,08:31.3,34:46.5,expired,"Goal: to review content of the website www.yoursunshine.org and make it very clear and add a new perspective. 
Thank you!",,154532,,"{""2018-01-02 19:00:00"",""2018-01-02 20:00:00"",""2018-01-03 19:00:00"",""2018-01-03 20:00:00"",""2018-01-03 21:00:00"",""2018-01-04 19:00:00"",""2018-01-04 20:00:00"",""2018-01-04 21:00:00"",""2018-01-05 19:00:00"",""2018-01-05 20:00:00""}",5643,,15,,f
295,36:25.5,00:51.3,completed,I want to convey a strong and appealing home page message.  I've changed it a few times on our website based on what's happening or the time of year. Welcoming yet makes the reader want to search further.,139001,154881,1/19/18 15:00,"{""2018-01-15 15:00:00"",""2018-01-17 15:00:00"",""2018-01-17 16:00:00"",""2018-01-17 18:00:00"",""2018-01-19 15:00:00""}",5695,5,15,,f
230,23:57.5,00:32.4,completed,"We are a large, non-profit food bank in Orlando with many clients and in need of data systems that will allow us to process client orders and manage prepared food production processes with inputs/outputs that include order entry, delivery tickets, historical data and reports. This project lends itself to database. We've drawn up a rough draft of a conceptual map.",127340,153145,11/21/17 17:00,"{""2017-11-21 17:00:00"",""2017-11-22 17:00:00"",""2017-11-24 17:00:00"",""2017-11-27 17:00:00"",""2017-11-28 17:00:00""}",5350,3,17,,f
314,50:13.3,14:40.5,expired,"My goal for this consultation is to get advice and help with writing grants. Our wish is to receive a grant money to further our organizations work. 
There are no challenges, other than our team has little grant writing experience.",,149398,,"{""2018-02-06 19:00:00"",""2018-02-07 19:00:00"",""2018-02-09 19:00:00""}",4836,,20,,f
505,38:19.9,23:18.4,expired,"To gain understanding and support with grants including, but not limited to, the areas of researching, writing, selecting, etc.",,160172,,"{""2018-06-28 20:00:00"",""2018-06-29 19:00:00"",""2018-07-02 17:00:00""}",6388,,6,,f
506,37:06.7,24:05.2,pbc_rescheduled,"The nonprofit sector is all new to me, as I am having a hard time trying to find people with the same passion as mine. I need workable Board members. I have been knocking on doors and apparently I,m not knocking on the right doors. I have a few members and we can't seem to figure it out. we can use all the help we can get in moving forward. Thank you.",159074,160201,,"{""2018-07-10 16:00:00"",""2018-07-11 14:00:00"",""2018-07-11 15:00:00"",""2018-07-11 16:00:00"",""2018-07-12 14:00:00""}",6459,1,8,,f
304,44:01.0,00:12.4,completed,"GOAL: Optimize our online strategy and make recommendations to revamp our website.

DESCRIPTION: Evaluate our online presence and inform us about improvement areas. We want to get help identifying these prior to contacting a website designer to have a more composed message throughout our different channels and better idea of the scope of work we’d need. 

Website: http://laclinica.org/",11182,153681,2/16/18 1:00,"{""2018-02-09 00:00:00"",""2018-02-09 01:00:00"",""2018-02-10 00:00:00"",""2018-02-10 01:00:00"",""2018-02-15 00:00:00"",""2018-02-15 01:00:00"",""2018-02-16 00:00:00"",""2018-02-16 01:00:00"",""2018-02-17 00:00:00"",""2018-02-17 01:00:00""}",5514,1,10,,f
283,19:40.8,00:46.2,completed,"To get clear direction on the way we can brand the company best moving forward
A clear and define branding strategy that will help to solidify our name and work in the community
We are struggling with too many names and some thing resonation with patrons than others and not our core operations being fully understood

www.braataproductions.org",147698,153218,1/5/18 20:00,"{""2017-12-28 20:00:00"",""2017-12-29 20:00:00"",""2018-01-03 20:00:00"",""2018-01-04 20:00:00"",""2018-01-05 20:00:00""}",5429,6,11,,f
291,39:44.3,00:51.6,completed,"InsideSchools, a project of The New School's Center for  New York City Affairs, helps tens of thousands of parents find good public schools.

www.Insideschools.org

I would like to learn how a typical visitor travels through the site. Why is our bounce rate so high? What can we do to encourage people to stay on the site? 

I would also like to increase revenue from Google AdSense.",136748,145290,1/8/18 18:00,"{""2018-01-04 15:00:00"",""2018-01-08 15:00:00"",""2018-01-08 18:00:00"",""2018-01-09 15:00:00"",""2018-01-09 18:00:00"",""2018-01-12 15:00:00""}",4332,3,10,,f
337,30:12.2,57:03.8,cancelled,"My goal for this session is to learn more about Payment Gateways vs Merchant Accounts and what would be best for us as we leave our current Merchant Account (PerfectMind) and move to an original Filemaker based app for all of our online registration and in house payments. We'd also like some advice on a solid service, considering the last three we've used have not met our needs.",,152347,,"{""2018-02-22 18:30:00"",""2018-02-23 01:00:00"",""2018-02-23 18:30:00"",""2018-02-23 20:00:00"",""2018-02-26 18:30:00"",""2018-02-27 01:00:00"",""2018-02-27 20:00:00"",""2018-02-28 01:00:00"",""2018-02-28 18:30:00""}",5345,,17,,f
344,03:19.5,00:30.0,completed,"My goal for this session is to figure out how I could use Taproot to help with my challenge of creating a clear, concise business plan that I can share the with others to begin building a team.",128291,156070,2/23/18 22:00,"{""2018-02-21 18:00:00"",""2018-02-21 19:00:00"",""2018-02-21 22:00:00"",""2018-02-22 01:00:00"",""2018-02-23 00:00:00"",""2018-02-23 01:00:00"",""2018-02-23 18:00:00"",""2018-02-23 19:00:00"",""2018-02-23 22:00:00"",""2018-02-24 01:00:00""}",3643,7,2,,f
644,51:56.3,30:33.3,completed,"We are looking for advice on the best and most cost effective web design and hosting platform to create a website for our small non-profit. We'd like the website to be easy enough for our volunteers to create and administer, but still allow enough functionality to include online registration forms, payment options, our own domain name, and email addresses.",112084,165377,10/17/18 14:00,"{""2018-10-10 14:00:00"",""2018-10-10 15:00:00"",""2018-10-11 14:00:00"",""2018-10-11 15:00:00"",""2018-10-15 14:00:00"",""2018-10-15 15:00:00"",""2018-10-17 14:00:00"",""2018-10-17 15:00:00"",""2018-10-18 14:00:00"",""2018-10-18 15:00:00""}",6843,1,19,,f
473,33:08.7,01:16.5,expired,"Hello. We would like to increase our memberships and be able to launch successful fundraising campaigns to be able to fulfill of community objectives. Would your volunteers be able to help our volunteer meet our goals ?
Thank you kindly for your time and attention.
Cordially,
Katayoun Katouzian",,159553,,"{""2018-06-18 22:00:00"",""2018-06-19 21:00:00"",""2018-06-20 20:00:00"",""2018-06-21 21:00:00"",""2018-06-22 22:00:00""}",6377,,10,,f
421,55:05.4,00:29.0,expired,"Small community development center in the midst of capital campaign. Seeking help with office design (blueprints, drawings, etc.) that we can use as part of our campaign and to help us conceptualize the office space to house a new innovation center. Would love to talk to someone with design/architecture experience who can either help or direct me to low cost or probono design firm.",,157871,,"{""2018-04-20 19:00:00"",""2018-04-23 14:00:00"",""2018-04-25 15:00:00"",""2018-04-25 16:00:00""}",6189,,,,f
293,02:55.9,01:06.3,completed,"The goal is to help bring clarity and focus to our mission/vision and to help make tangible goals to give Hear The Hungry a fresh new start and a new direction and goals to revamp our organization. 
http://www.hearthehungry.org/",147698,154748,1/16/18 20:00,"{""2018-01-10 20:00:00"",""2018-01-11 20:00:00"",""2018-01-12 20:00:00"",""2018-01-15 20:00:00"",""2018-01-16 20:00:00""}",5679,1,2,,f
296,49:56.9,26:06.7,expired,"Hi, 

I am having difficulties understanding where my NGO's website is hosted. I know the link is broken but I am not sure how to fix it. I know we used to have a Wordpress account through which we would edit the website. But now it doesn't show up and we are not able to log into it. I really need help to figure out the server, domain, who is hosting it, and the editing. Thank you!",,155035,,"{""2018-01-22 16:00:00"",""2018-01-22 17:00:00"",""2018-01-23 16:00:00"",""2018-01-23 17:00:00"",""2018-01-25 16:00:00"",""2018-01-25 17:00:00"",""2018-01-26 16:00:00"",""2018-01-26 17:00:00""}",5711,,17,,f
292,10:11.5,18:14.8,expired,"Our organization desperately needs volunteer accountants, PR writers, marketers, fundraisers, and advice specializing with nonprofits in Massachusetts. 

The company collects non-monetary donations across Boston, MA and are proceeding with the startup phase. We want to grow our volunteer team of seven with qualified and professional team members.",,154788,,"{""2018-01-11 18:00:00"",""2018-01-12 19:00:00"",""2018-01-12 20:00:00"",""2018-01-15 20:00:00"",""2018-01-15 21:00:00""}",5677,,7,,f
298,09:58.5,29:45.7,cancelled,"The NFA's key personnel includes four full-time employees who have been with the organization for four years and an extensive core of long-time volunteers. There is now growing friction and confusion between these groups. As ED, I believe we need more empathy and open-mindedness and a clearer delineation of decision-making authority. I would love to talk to an HR expert about how to instill this.",,119472,,"{""2018-02-06 19:00:00"",""2018-02-06 19:30:00"",""2018-02-06 20:00:00"",""2018-02-06 20:30:00"",""2018-02-07 19:00:00"",""2018-02-07 19:30:00"",""2018-02-07 20:00:00"",""2018-02-08 19:00:00"",""2018-02-08 19:30:00"",""2018-02-09 19:00:00""}",3846,,7,,f
288,28:43.8,54:31.1,expired,"We are a small arts service organization, looking to simplify and/or combine our CRM database (currently Nimble) and email marketing (currently MailChimp). We don't use Nimble as much more than a contact database, and keeping the two systems up to date with each other has proven frustrating and time-consuming. Ideally, we'd like to just use one solution, but we're not sure what that would be.",,154553,,"{""2018-01-10 20:00:00"",""2018-01-10 20:30:00"",""2018-01-11 20:00:00"",""2018-01-11 20:30:00"",""2018-01-11 21:00:00"",""2018-01-11 21:30:00"",""2018-01-12 18:00:00"",""2018-01-12 18:30:00"",""2018-01-12 19:00:00"",""2018-01-12 19:30:00""}",5646,,17,,f
319,04:59.3,58:46.9,expired,"get advice on how to become more visible to increase our audience, and email subscribers",,155626,,"{""2018-02-12 20:00:00"",""2018-02-12 21:00:00"",""2018-02-13 20:00:00"",""2018-02-14 22:00:00""}",5835,,10,,f
497,31:35.8,18:35.4,expired,"I would like assistance on developing a rebranding plan. We will be changing our name, as we will no longer be an affiliate of the Arc. (I am assuming this is confidential, and if not to be assumed then I appreciate you keeping this confidential) In addition to changing our name, we are also in need of an update to our website, brochures, and company literature.",,159921,,"{""2018-06-18 22:00:00"",""2018-06-19 17:00:00"",""2018-06-20 20:00:00"",""2018-06-21 17:00:00"",""2018-06-21 18:00:00"",""2018-06-21 20:00:00"",""2018-06-21 21:00:00"",""2018-07-02 21:00:00"",""2018-07-05 18:00:00"",""2018-07-05 21:00:00""}",3379,,11,,f
362,06:21.7,50:06.6,expired,"My goal for this session is to learn how to design a campaigns to cultivate individual donors, as well as, developing a strategy on media relations and PR .

The project, we need help with can be found here https://worldtop20.org/education-is-hope",,8057,,"{""2018-04-10 18:00:00"",""2018-04-11 17:00:00"",""2018-04-12 17:00:00"",""2018-04-12 19:30:00"",""2018-04-13 17:00:00""}",1143,,10,,f
308,56:13.0,00:31.9,completed,"Best approach for submitting a few Taproot projects in 2018 (not together). Projects have to do primarily with fundraising, both Marketing and Business Planning. 

And, is there an analysis project that would be best to do before beginning any of the main projects?  

My goal for the consultation would be to finalize a plan of action for these projects. 

NEA https://nationaleczema.org/",5783,155375,2/5/18 19:00,"{""2018-02-05 15:00:00"",""2018-02-05 16:00:00"",""2018-02-05 19:00:00"",""2018-02-06 16:00:00"",""2018-02-07 15:00:00""}",5779,8,10,,f
443,27:41.7,00:07.9,completed,"Amberwood Sanctuary: A Special Place for Donkeys, a 501(c)3 since 1984, rescues and provides permanent sanctuary for wild burros and unwanted/abused donkeys.
     With no help from the two current board members, desperately need your help in recruiting one or two dedicated volunteer board members who will help me run this organization.
     Every aspect of this organization is backlogged.",157456,157960,8/21/18 14:00,"{""2018-08-20 13:00:00"",""2018-08-20 19:00:00"",""2018-08-21 14:00:00"",""2018-08-22 15:00:00"",""2018-08-22 20:00:00"",""2018-08-23 17:00:00"",""2018-08-23 21:00:00"",""2018-08-24 18:00:00""}",6201,2,8,,f
